samples,AIC,WAIC,10-fold-cv
1770.0,-725.2645223832483,-728.4812643466286,362.65658132989176
1780.0,-725.2658417702291,-728.5007041429401,362.6792377246553
1790.0,-725.2677646962729,-728.4969623887639,362.6723574549674
1800.0,-725.2670808841194,-728.5045550968943,362.5738227832125
1810.0,-725.2668012787458,-728.5118534911206,362.58743375645474
1820.0,-725.2657479242341,-728.4852412440245,362.64425140565066
1830.0,-725.2687247141894,-727.9913822820855,362.5412057415809
1840.0,-725.2698821556916,-728.0087876207358,362.636238922601
1850.0,-725.269112839107,-728.0121707749583,362.68914587206325
1860.0,-725.2673174611136,-727.9084739409346,362.5966554331477
1870.0,-725.2669892817529,-727.9209283931464,362.6280643651293
1880.0,-725.268457346104,-727.934599928996,362.5907270101216
1890.0,-725.2694299290545,-727.9522798030524,362.65564227836967
1900.0,-725.2699446440181,-727.9633055944447,362.6191070856768
1910.0,-725.2673752604933,-727.9736172239902,362.65131737238346
1920.0,-725.2683820959155,-727.9852108342421,362.7133067406123
1930.0,-725.2652110194208,-727.9800482476553,362.6541114138958
1940.0,-725.2659720111831,-727.9918098664372,362.55165217346035
1950.0,-725.2644233752549,-728.0001162139062,362.6507613418951
1960.0,-725.2655845929223,-728.007252606726,362.6812908256837
1970.0,-725.2650567364994,-728.0223604419385,362.6652242803808
1980.0,-725.2664370934579,-728.0431318499419,362.68364243809486
1990.0,-725.267208121599,-727.9333991043463,362.60125896310024
2000.0,-725.2696134325091,-727.939131179891,362.67469670252444
2010.0,-725.2720189287647,-727.954350028548,362.70949847570375
2020.0,-725.2732956669477,-727.9497928737288,362.6077423360504
2030.0,-725.2732219602506,-727.9687489999328,362.5714469634523
2040.0,-725.2726209905325,-727.9811288328117,362.694555445996
2050.0,-725.2721238123776,-727.991154260744,362.5799833707798
2060.0,-725.2698334516606,-728.0006824707262,362.63357538750813
2070.0,-725.2701190921562,-728.0139762173728,362.5870070912192
2080.0,-725.2682241644661,-728.0262536934194,362.65449263588454
2090.0,-725.2683046185557,-728.0383126735778,362.60080852073935
